amfi_code,sharpe_ratio
148567,1.4482911703262602
120843,1.3067439695428407
148569,1.2349300257743299
119551,1.208266567372718
120505,1.1801011976606492
149323,1.1321218524747247
100033,1.0936987435346308
118632,1.0816591793457044
101206,1.0272133278753697
120504,1.0265242847993001
119094,0.9982309868636414
119552,0.9532794968660105
149324,0.9497958246616032
119598,0.9453082575156094
148568,0.9262873467360146
102885,0.8170993373494371
120503,0.7979728586052847
125497,0.7757902498211209
118635,0.664856998549062
120506,0.6488787755249532
118633,0.6452074382933216
102887,0.6195175900829829
120507,0.49572339295331147
120841,0.4942725378672354
149322,0.4640374492204777
118634,0.44843400890899143
125498,0.3006119210425479
101207,0.16266076928646758
119093,0.1296144979566933
120842,0.07599984804658912
119092,0.030784850954585913
119599,-0.05718662582818005
119095,-0.07597357117478937
120844,-0.08874729621557495
100016,-0.20151706755966933
102886,-0.20583160785470306
119120,-0.2265753866279158
118636,-0.3566295075143679
100025,-0.5670947928476847
101208,-0.8155673679088286
