amfi_code,sortino_ratio
148567,2.385644373368819
120843,2.364320032166718
148569,2.146913926346056
119551,2.140267129061794
120505,2.0293529404657464
149323,1.8751010639192085
118632,1.8501325468557264
100033,1.8291339615146944
120504,1.8052937940992546
101206,1.7995628746984524
119094,1.7037974802463003
119598,1.6753165700125519
148568,1.6327409778735162
149324,1.6197931764914093
119552,1.6097764896283082
102885,1.4357420130649496
120503,1.3379431500669237
125497,1.3306512447571368
118633,1.154475716923624
118635,1.1379767187807421
120506,1.0958951614736467
102887,1.0887552508030016
120507,1.0521238822609271
120841,0.8625738849916588
149322,0.7621288703723165
118634,0.7460146308533573
125498,0.5088128197169232
101207,0.2766437962609231
119093,0.2210868397927636
120842,0.12469346986475656
119092,0.05257398559304798
119599,-0.09438726129459621
119095,-0.12818559275851954
120844,-0.18772304774242665
102886,-0.3472223025472726
100016,-0.3510474601523089
119120,-0.3767670081706669
118636,-0.6135251287271025
100025,-0.9418212366054207
101208,-1.6810378667512855
